"TIME","GEO","SEX","ISCED11","AGE","UNIT","Value"
"2010","European Union - 27 countries (from 2020)","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","31.7"
"2010","European Union - 27 countries (from 2020)","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","68.3"
"2010","European Union - 27 countries (from 2020)","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","46.8"
"2010","European Union - 27 countries (from 2020)","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","21.6"
"2010","European Union - 28 countries (2013-2020)","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","30.8"
"2010","European Union - 28 countries (2013-2020)","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","69.2"
"2010","European Union - 28 countries (2013-2020)","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","46.5"
"2010","European Union - 28 countries (2013-2020)","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","22.8"
"2010","European Union - 15 countries (1995-2004)","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","33.3"
"2010","European Union - 15 countries (1995-2004)","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","66.7"
"2010","European Union - 15 countries (1995-2004)","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","42.4"
"2010","European Union - 15 countries (1995-2004)","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","24.3"
"2010","Euro area - 19 countries  (from 2015)","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","34.6"
"2010","Euro area - 19 countries  (from 2015)","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","65.4"
"2010","Euro area - 19 countries  (from 2015)","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","42.8"
"2010","Euro area - 19 countries  (from 2015)","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","22.7"
"2010","Belgium","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","32.6"
"2010","Belgium","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","67.4"
"2010","Belgium","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","36.7"
"2010","Belgium","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","30.7"
"2010","Bulgaria","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","25.1"
"2010","Bulgaria","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","74.9"
"2010","Bulgaria","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","55.1"
"2010","Bulgaria","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","19.7"
"2010","Czechia","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","14.4"
"2010","Czechia","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","85.6"
"2010","Czechia","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","71.1"
"2010","Czechia","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","14.5"
"2010","Denmark","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","32.1"
"2010","Denmark","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","67.9"
"2010","Denmark","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","40.5"
"2010","Denmark","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","27.3"
"2010","Germany (until 1990 former territory of the FRG)","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","21.0"
"2010","Germany (until 1990 former territory of the FRG)","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","79.0"
"2010","Germany (until 1990 former territory of the FRG)","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","56.3"
"2010","Germany (until 1990 former territory of the FRG)","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","22.7"
"2010","Estonia","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","18.2"
"2010","Estonia","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","81.8"
"2010","Estonia","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","51.8"
"2010","Estonia","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","30.0"
"2010","Ireland","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","29.9"
"2010","Ireland","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","70.1"
"2010","Ireland","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","36.2"
"2010","Ireland","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","33.9"
"2010","Greece","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","38.5"
"2010","Greece","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","61.5"
"2010","Greece","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","40.6"
"2010","Greece","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","20.9"
"2010","Spain","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","48.1"
"2010","Spain","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","51.9"
"2010","Spain","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","23.4"
"2010","Spain","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","28.4"
"2010","France","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","31.9"
"2010","France","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","68.1"
"2010","France","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","41.9"
"2010","France","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","26.2"
"2010","Croatia","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","25.4"
"2010","Croatia","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","74.6"
"2010","Croatia","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","58.8"
"2010","Croatia","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","15.7"
"2010","Italy","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","46.3"
"2010","Italy","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","53.7"
"2010","Italy","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","40.7"
"2010","Italy","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","13.0"
"2010","Cyprus","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","29.6"
"2010","Cyprus","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","70.4"
"2010","Cyprus","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","38.3"
"2010","Cyprus","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","32.1"
"2010","Latvia","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","19.5"
"2010","Latvia","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","80.5"
"2010","Latvia","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","57.8"
"2010","Latvia","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","22.6"
"2010","Lithuania","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","17.1"
"2010","Lithuania","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","82.9"
"2010","Lithuania","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","56.0"
"2010","Lithuania","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","26.9"
"2010","Luxembourg","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","28.9"
"2010","Luxembourg","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","71.1"
"2010","Luxembourg","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","40.8"
"2010","Luxembourg","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","30.3"
"2010","Hungary","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","24.4"
"2010","Hungary","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","75.6"
"2010","Hungary","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","58.5"
"2010","Hungary","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","17.1"
"2010","Malta","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","60.3"
